iteration,train_loss,test_acc,test_acc_min,test_acc_max,test_acc_std,consensus_error,comm_volume
25,0.0,85.995995995996,85.68568568568568,86.98698698698699,0.3783995629917093,0.0003606933751143515,28704
26,0.0,85.98598598598599,84.98498498498499,86.98698698698699,0.4821459290807715,0.0003369295154698193,29808
27,0.0,85.99599599599598,85.38538538538538,86.68668668668668,0.37306596904072425,0.0003347504825796932,30912
28,0.0,86.04604604604604,85.58558558558559,86.78678678678679,0.30755338329804216,0.0002376165211899206,32016
29,0.0,86.01601601601601,85.58558558558559,87.08708708708708,0.43644102815999136,0.0002826238051056862,33120
30,0.0,86.18618618618618,85.78578578578579,87.08708708708708,0.35532010709306827,0.0002676664444152266,34224
31,0.0,86.10610610610611,85.28528528528528,86.88688688688688,0.4940525597298523,0.00032888425630517304,35328
32,0.0,86.36636636636635,85.98598598598599,86.88688688688688,0.23603255500603595,0.0002270582626806572,36432
33,0.0,86.39639639639638,85.88588588588588,86.88688688688688,0.24702627986492554,0.0001866461825557053,37536
34,0.0,86.3963963963964,85.4854854854855,87.28728728728728,0.448667363984281,0.0002582332817837596,38640
35,0.0,86.28628628628628,85.28528528528528,86.98698698698699,0.5277848378964614,0.00034269719617441297,39744
36,0.0,86.43643643643642,85.78578578578579,87.38738738738738,0.4252781939188758,0.00026450626319274306,40848
37,0.0,86.55655655655656,85.4854854854855,87.28728728728728,0.4500053412009783,0.0002678574528545141,41952
38,0.0,86.65665665665665,86.18618618618619,87.38738738738738,0.3381250401212091,0.00022996422194410115,43056
39,0.0,86.63663663663664,86.18618618618619,87.08708708708708,0.2804589734959327,0.0002308674156665802,44160
40,0.0,86.71671671671672,86.38638638638638,87.18718718718719,0.21021021021021288,0.0001328976941294968,45264
41,0.0,86.7767767767768,86.48648648648648,87.38738738738738,0.23023023023022726,0.00016910320846363902,46368
42,0.0,86.81681681681683,86.48648648648648,87.58758758758759,0.31031031031031125,0.00018482601444702595,47472
43,0.0,86.53653653653654,85.28528528528528,87.18718718718719,0.48679945608760317,0.00033040199195966125,48576
44,0.0,86.62662662662663,86.08608608608608,87.38738738738738,0.35305689866963647,0.0002233492850791663,49680
45,0.0,86.6066066066066,86.08608608608608,87.18718718718719,0.31272270974601235,0.0001868066901806742,50784
46,0.0,86.81681681681681,86.58658658658659,87.58758758758759,0.2971135551482649,0.00022118270862847567,51888
47,0.0,86.76676676676678,86.38638638638638,87.58758758758759,0.3062474182338034,0.00028780417051166296,52992
48,0.0,86.90690690690693,86.48648648648648,87.68768768768768,0.3062474182338007,0.0002110739005729556,54096
49,0.0,86.86686686686687,86.68668668668668,87.58758758758759,0.2678496128180133,0.00016192375915125012,55200
50,0.0,86.91691691691692,86.48648648648648,87.78778778778779,0.34690137039366425,0.0002153500245185569,56304
51,0.0,86.93693693693693,86.48648648648648,87.28728728728728,0.224946997539983,0.0001724543108139187,57408
52,0.0,86.976976976977,86.78678678678679,87.38738738738738,0.17595991823069787,0.00015160399198066443,58512
53,0.0,86.98698698698698,86.78678678678679,87.68768768768768,0.24924723919897238,0.00017449326696805656,59616
54,0.0,86.94694694694695,86.58658658658659,87.58758758758759,0.24601012467356398,0.0002139727585017681,60720
55,0.0,87.03703703703704,86.68668668668668,87.68768768768768,0.3503503503503497,0.0003564571379683912,61824
56,0.0,87.00700700700702,86.78678678678679,87.68768768768768,0.2524428471054743,0.0002719812619034201,62928
57,0.0,87.10710710710711,86.78678678678679,87.68768768768768,0.2273837175495587,0.0002318034676136449,64032
58,0.0,87.10710710710711,86.68668668668668,87.78778778778779,0.2752297714688198,0.00020549834880512208,65136
59,0.0,87.11711711711712,86.68668668668668,87.88788788788789,0.37467401946372036,0.00028388810460455716,66240
60,0.0,87.04704704704706,86.68668668668668,87.88788788788789,0.3203203203203201,0.0002035010838881135,67344
61,0.0,87.12712712712712,86.78678678678679,88.28828828828829,0.4058685672214854,0.00015866213652770966,68448
62,0.0,87.1071071071071,86.88688688688688,87.88788788788789,0.2824171367300474,0.00016521783254574984,69552
63,0.0,87.10710710710711,85.98598598598599,88.38838838838838,0.6085559220648876,0.00048208548105321825,70656
64,0.0,87.25725725725724,86.88688688688688,88.38838838838838,0.4410088242624736,0.0003355174558237195,71760
65,0.0,87.27727727727728,86.68668668668668,88.28828828828829,0.43275207850284836,0.00026774793514050543,72864
66,0.0,87.28728728728728,86.78678678678679,87.88788788788789,0.3133628797296983,0.0002292113786097616,73968
67,0.0,87.13713713713715,85.98598598598599,87.68768768768768,0.4867994560875993,0.00027307408163324,75072
68,0.0,87.15715715715717,86.78678678678679,87.88788788788789,0.30706429730085716,0.000197740358998999,76176
69,0.0,87.27727727727729,86.78678678678679,88.18818818818819,0.41622868641224753,0.00017612385272514075,77280
70,0.0,87.32732732732731,86.88688688688688,87.98798798798799,0.29761899394031166,0.00018129375530406833,78384
71,0.0,87.29729729729729,86.88688688688688,88.58858858858859,0.4575133085896481,0.0005331154097802937,79488
72,0.0,87.38738738738739,86.98698698698699,88.78878878878879,0.5201353776483122,0.0003291908069513738,80592
73,0.0,87.36736736736736,86.78678678678679,88.58858858858859,0.4604604604604604,0.0003018380666617304,81696
74,0.0,87.40740740740742,87.18718718718719,88.48848848848849,0.3897481948735071,0.000253276783041656,82800
75,0.0,87.63763763763764,87.18718718718719,88.38838838838838,0.47639655792955926,0.00024449347984045744,83904
76,0.0,87.69769769769769,87.28728728728728,88.28828828828829,0.3537657066480943,0.00014307908713817596,85008
77,0.0,87.76776776776777,87.18718718718719,88.18818818818819,0.2602602602602594,0.0001311728556174785,86112
78,0.0,87.81781781781781,87.38738738738738,88.68868868868869,0.34977788207519706,0.00012893493112642318,87216
79,0.0,87.67767767767768,87.08708708708708,88.38838838838838,0.35376570664809126,0.0007238443940877914,88320
80,0.0,87.80780780780782,87.28728728728728,88.78878878878879,0.3793252316615907,0.00032619317062199116,89424
81,0.0,87.82782782782783,87.4874874874875,88.78878878878879,0.3830055349291066,0.0002924580476246774,90528
82,0.0,87.94794794794795,87.4874874874875,88.78878878878879,0.35868814548886757,0.00024802470579743385,91632
83,0.0,87.76776776776777,86.88688688688688,88.68868868868869,0.4538852471973818,0.0004031778371427208,92736
84,0.0,87.8978978978979,86.88688688688688,88.88888888888889,0.5171407949184965,0.0002762364747468382,93840
85,0.0,87.987987987988,87.4874874874875,88.68868868868869,0.3289624970000979,0.00024671191931702197,94944
86,0.0,87.98798798798798,87.68768768768768,88.68868868868869,0.3003003003002997,0.0002153130481019616,96048
87,0.0,87.97797797797799,86.98698698698699,89.08908908908909,0.5151995688671759,0.00041792821139097214,97152
88,0.0,88.06806806806807,87.58758758758759,89.08908908908909,0.4218479981122207,0.00028829131042584777,98256
89,0.0,88.13813813813815,87.68768768768768,88.988988988989,0.3805120682432078,0.0002119669661624357,99360
90,0.0,88.14814814814815,87.78778778778779,88.78878878878879,0.3295711237868727,0.00018720407388173044,100464
91,0.0,88.04804804804803,86.98698698698699,89.08908908908909,0.6397015138606766,0.0004612199554685503,101568
92,0.0,88.15815815815816,87.58758758758759,89.08908908908909,0.44552979147683325,0.0002952595823444426,102672
93,0.0,88.18818818818819,87.08708708708708,89.28928928928929,0.5785058369089038,0.00032566365553066134,103776
94,0.0,88.23823823823824,87.78778778778779,89.08908908908909,0.408452567829891,0.00023525694268755615,104880
95,0.0,88.25825825825825,87.68768768768768,89.1891891891892,0.4318249171195801,0.00020858467905782163,105984
96,0.0,88.31831831831832,87.88788788788789,88.988988988989,0.3554610791704654,9.798980318009853e-05,107088
97,0.0,88.19819819819821,87.98798798798799,88.48848848848849,0.15147893844265617,0.00010102061787620187,108192
98,0.0,88.34834834834834,87.98798798798799,88.88888888888889,0.23772456630706354,0.000108703738078475,109296
99,0.0,88.47847847847848,87.98798798798799,89.28928928928929,0.36765500845258997,0.00019706945749931037,110400
